ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HDFCBANK","EQ","02-Jun-2025","1,944.90","1,930.10","1,936.00","1,908.00","1,931.00","1,932.10","1,924.65","73,34,411","14,11,61,52,681.30","2,02,297","48,06,505","65.53"
"HDFCBANK","EQ","03-Jun-2025","1,932.10","1,938.00","1,952.00","1,920.00","1,923.50","1,924.60","1,933.85","1,21,88,792","23,57,13,32,796.70","2,02,204","88,84,330","72.89"
"HDFCBANK","EQ","04-Jun-2025","1,924.60","1,921.00","1,943.30","1,920.90","1,939.50","1,941.20","1,935.52","64,80,771","12,54,36,93,178.60","2,05,372","46,48,807","71.73"
"HDFCBANK","EQ","05-Jun-2025","1,941.20","1,948.00","1,958.90","1,940.20","1,952.00","1,949.60","1,950.15","1,11,27,709","21,70,06,98,216.20","2,16,860","62,48,672","56.15"
"HDFCBANK","EQ","06-Jun-2025","1,949.60","1,944.00","1,996.30","1,942.70","1,978.00","1,978.70","1,976.03","1,50,63,504","29,76,59,91,590.30","3,54,572","92,08,623","61.13"
"HDFCBANK","EQ","09-Jun-2025","1,978.70","1,995.00","1,995.00","1,975.90","1,980.10","1,978.90","1,982.15","66,01,294","13,08,47,80,209.80","2,03,285","43,10,858","65.30"
"HDFCBANK","EQ","10-Jun-2025","1,978.90","1,982.80","1,982.80","1,961.10","1,962.80","1,965.30","1,967.94","77,66,563","15,28,41,54,944.50","2,81,306","54,33,094","69.95"
"HDFCBANK","EQ","11-Jun-2025","1,965.30","1,967.60","1,967.60","1,947.00","1,947.90","1,950.40","1,956.28","55,48,197","10,85,38,32,767.00","1,81,762","43,81,595","78.97"
"HDFCBANK","EQ","12-Jun-2025","1,950.40","1,950.00","1,961.00","1,935.30","1,940.00","1,943.40","1,945.18","81,74,565","15,90,10,14,848.90","1,79,174","47,09,228","57.61"
"HDFCBANK","EQ","13-Jun-2025","1,943.40","1,920.00","1,933.00","1,913.00","1,919.50","1,917.60","1,920.08","60,58,881","11,63,35,22,704.60","1,87,789","41,57,664","68.62"
"HDFCBANK","EQ","16-Jun-2025","1,917.60","1,924.00","1,938.90","1,920.10","1,936.90","1,935.40","1,933.31","82,56,873","15,96,31,22,374.70","1,99,177","67,55,556","81.82"
"HDFCBANK","EQ","17-Jun-2025","1,935.40","1,937.00","1,941.60","1,919.10","1,926.00","1,929.60","1,927.55","84,89,368","16,36,36,91,276.80","2,19,738","58,36,894","68.76"
"HDFCBANK","EQ","18-Jun-2025","1,929.60","1,917.00","1,936.30","1,917.00","1,932.50","1,933.90","1,928.12","92,16,908","17,77,13,02,525.40","2,51,910","73,13,289","79.35"
"HDFCBANK","EQ","19-Jun-2025","1,933.90","1,933.90","1,946.80","1,925.60","1,933.10","1,935.30","1,937.61","84,38,110","16,34,97,32,658.70","2,02,215","50,83,169","60.24"
"HDFCBANK","EQ","20-Jun-2025","1,935.30","1,931.60","1,969.90","1,931.60","1,963.10","1,964.70","1,960.39","1,64,50,204","32,24,88,39,586.40","2,61,970","1,32,34,979","80.45"
"HDFCBANK","EQ","23-Jun-2025","1,964.70","1,948.40","1,957.90","1,941.80","1,948.10","1,948.40","1,948.19","58,69,759","11,43,53,95,881.10","1,76,324","41,36,205","70.47"
"HDFCBANK","EQ","24-Jun-2025","1,948.40","1,965.00","1,979.00","1,955.60","1,963.70","1,960.90","1,964.12","1,13,12,661","22,21,94,42,191.50","2,31,814","55,90,603","49.42"
"HDFCBANK","EQ","25-Jun-2025","1,960.90","1,966.00","1,982.00","1,963.90","1,980.00","1,980.20","1,977.13","92,02,966","18,19,54,46,515.70","2,06,190","68,56,865","74.51"
"HDFCBANK","EQ","26-Jun-2025","1,980.20","1,981.40","2,027.10","1,980.00","2,017.70","2,021.80","2,011.21","2,50,42,415","50,36,56,56,414.50","3,43,662","1,70,82,370","68.21"
"HDFCBANK","EQ","27-Jun-2025","2,021.80","2,013.00","2,019.80","1,993.40","2,011.50","2,014.90","2,011.75","1,41,06,692","28,37,90,71,385.70","2,26,961","1,17,90,269","83.58"
"HDFCBANK","EQ","30-Jun-2025","2,014.90","2,011.50","2,013.80","1,995.50","2,000.00","2,001.50","2,001.16","68,24,510","13,65,69,39,181.00","1,99,780","50,25,817","73.64"
"HDFCBANK","EQ","01-Jul-2025","2,001.50","2,005.00","2,016.00","2,004.00","2,011.10","2,012.10","2,010.15","71,94,693","14,46,24,21,818.60","1,69,976","48,95,516","68.04"